latitude,longitude,elevation,slope,country,state,ore,gangue,dep_type,hrock_type,arock_type,ore_ctrl,commod1
36.56139,103.83393,1944.0,12.564098,China,,"Bornite, Magnetite, Pentlandite, Platinum, Pyrrhotite, Sperrylite","Chlorite, Olivine, Serpentine",,,,,"Iridium, Palladium, Platinum, Nickel, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Bornite, Magnetite, Pentlandite, Platinum, Pyrrhotite, Sperrylite","Chlorite, Olivine, Serpentine",,,,,"Iridium, Palladium, Platinum, Nickel, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Bornite, Magnetite, Pentlandite, Platinum, Pyrrhotite, Sperrylite","Chlorite, Olivine, Serpentine",,,,,"Iridium, Palladium, Platinum, Nickel, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Bornite, Magnetite, Pentlandite, Platinum, Pyrrhotite, Sperrylite","Chlorite, Olivine, Serpentine",,,,,"Iridium, Palladium, Platinum, Nickel, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Bornite, Magnetite, Pentlandite, Platinum, Pyrrhotite, Sperrylite","Chlorite, Olivine, Serpentine",,,,,"Iridium, Palladium, Platinum, Nickel, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Bornite, Magnetite, Pentlandite, Platinum, Pyrrhotite, Sperrylite","Chlorite, Olivine, Serpentine",,,,,"Iridium, Palladium, Platinum, Nickel, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Chalcopyrite, Gold, Pentlandite, Pyrrhotite, Sperrylite",,,,,,"Palladium, Platinum, Nickel, Gold, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Chalcopyrite, Gold, Pentlandite, Pyrrhotite, Sperrylite",,,,,,"Palladium, Platinum, Nickel, Gold, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Chalcopyrite, Gold, Pentlandite, Pyrrhotite, Sperrylite",,,,,,"Palladium, Platinum, Nickel, Gold, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Chalcopyrite, Gold, Pentlandite, Pyrrhotite, Sperrylite",,,,,,"Palladium, Platinum, Nickel, Gold, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Chalcopyrite, Gold, Pentlandite, Pyrrhotite, Sperrylite",,,,,,"Palladium, Platinum, Nickel, Gold, Copper"
36.56139,103.83393,1944.0,12.564098,China,,"Chalcopyrite, Gold, Pentlandite, Pyrrhotite, Sperrylite",,,,,,"Palladium, Platinum, Nickel, Gold, Copper"
